BN,FPE,Form ID,200,210,220,230,240,250,260
816206429RR0001,2021-02-28,25,543940,Y,N,,Y,Y,N
891153348RR0001,2021-03-31,25,2368,Y,N,,N,N,N
827255944RR0001,2021-03-31,25,98224,N,N,,N,Y,N
848215604RR0001,2021-04-30,25,610122,Y,N,,N,N,N
132056813RR0001,2021-03-31,25,13710953,Y,Y,7982759,N,Y,N
107497273RR0001,2021-03-31,25,52953,Y,Y,41319,N,N,N
896011459RR0001,2021-03-31,25,20102,Y,N,,N,N,N
108114091RR0001,2021-03-31,25,15862,Y,N,,N,Y,N
106815129RR0001,2021-03-31,25,,N,N,,N,N,N
841469547RR0001,2021-03-31,25,988729,Y,Y,565110,Y,Y,N
807954623RR0001,2021-02-28,25,8014,N,N,,N,Y,N
822854360RR0001,2021-06-30,25,3080,Y,N,,N,Y,N
840138911RR0001,2021-03-31,24,27323,N,N,,N,N,N
865296966RR0001,2021-02-28,25,0,N,N,,N,N,N
837976273RR0001,2021-04-30,25,1382,Y,N,,N,N,N
806465340RR0001,2021-04-30,25,21700,Y,N,,N,Y,N
857487193RR0001,2021-03-31,25,74000,N,N,,N,Y,N
119156578RR0001,2021-03-31,25,594000,Y,N,0,N,N,N
133699959RR0001,2021-03-31,25,323445,Y,N,,N,N,N
875224214RR0001,2021-04-30,25,3376,Y,N,,Y,Y,N
855873063RR0001,2021-06-30,25,7500,Y,N,,N,N,N
130726268RR0001,2021-03-31,23,24000,Y,N,,N,N,N
812163087RR0001,2021-06-30,25,67969,Y,N,,N,Y,N
132373077RR0001,2021-03-31,25,334358,Y,N,,Y,N,N
889920799RR0001,2021-02-28,25,83799,N,N,,N,N,N
807729108RR0001,2021-03-31,25,69657,Y,N,,N,N,N
119009181RR0002,2021-03-31,25,56697,N,N,,Y,N,N
832874630RR0001,2021-02-28,25,6880,Y,N,,N,Y,N
887549954RR0001,2021-01-31,24,1466872,Y,N,,N,Y,N
119014462RR0001,2021-04-30,25,174371,N,N,,N,Y,N
820406650RR0001,2021-03-31,25,3540,N,N,,N,N,N
886251792RR0001,2021-05-31,25,26000,Y,N,,N,Y,N
107632325RR0001,2021-06-30,25,2830,N,N,,N,Y,N
813563665RR0001,2021-03-31,25,1984254,Y,N,,N,N,N
