BN,FPE,Form ID,100,110,120,130
119055465RR0001,2021-03-31,25,,,,
890143373RR0001,2021-03-20,25,,,,
140151259RR0001,2021-03-31,25,,,,
890175573RR0001,2021-02-15,25,N,N,N,N
119183242RR0001,2021-03-31,25,,,,
824889596RR0001,2021-03-30,25,N,N,N,N
890098932RR0001,2021-03-20,25,,,,
119027555RR0001,2021-03-31,25,,,,
891320368RR0001,2021-02-28,25,,,,
889321998RR0001,2021-03-31,25,,,,
816276695RR0001,2021-02-28,25,,,,
888121266RR0001,2021-02-28,25,,,,
852000736RR0001,2021-01-31,25,,,,
119245678RR0001,2021-03-31,25,N,N,,
889366779RR0001,2021-02-28,25,,,,
119106821RR0001,2021-03-31,25,,,,
890914393RR0001,2021-03-20,25,,,,
886052190RR0001,2021-03-31,25,,,,
897516183RR0001,2021-03-31,25,,,,
816895569RR0001,2021-01-31,25,N,N,,
123788853RR0001,2021-03-31,25,,,,
730087921RR0001,2021-02-02,25,,,,
867140931RR0001,2021-03-31,25,N,N,N,N
140315433RR0001,2021-01-31,25,,,,
118912757RR0001,2021-03-31,25,,,,
773745484RR0001,2021-01-31,24,,,,
132329723RR0001,2021-01-31,25,,,,
107865735RR0001,2021-03-31,25,,,,
892525163RR0001,2021-03-31,25,,,,
835319823RR0001,2021-03-31,25,,,,
896952611RR0001,2021-04-30,25,,,,
809558984RR0001,2021-03-31,25,N,N,N,N
107774796RR0001,2021-03-31,24,,,,
848857918RR0001,2021-04-30,25,,,,
837546365RR0001,2021-03-31,25,,,,
827880923RR0001,2021-01-31,25,N,N,N,N
866720618RR0001,2021-03-31,24,,,,
851338145RR0001,2021-03-31,25,,,,
866245442RR0001,2021-03-31,25,,,,
819770843RR0001,2021-02-28,25,,,,
101094266RR0001,2021-04-30,25,,,,
870814944RR0001,2021-02-15,25,,,,
812768059RR0001,2021-03-31,25,,,,
861304236RR0001,2021-01-31,25,,,,
871276036RR0001,2021-04-30,25,,,,
107726275RR0001,2021-04-30,25,,,,
140616970RR0001,2021-04-30,25,,,,
828380378RR0001,2021-01-31,25,,,,
118923036RR0001,2021-03-31,25,N,N,,
830314449RR0001,2021-03-31,25,,,,
129580759RR0001,2021-03-31,25,,,,
830856464RR0001,2021-03-31,25,,,,
809844533RR0001,2021-03-04,25,,,,
137747812RR0001,2021-03-31,25,,,,
803574672RR0001,2021-01-31,23,,,,
806137022RR0001,2021-01-31,25,,,,
813195658RR0001,2021-01-31,25,,,,
118950153RR0001,2021-03-31,25,,,,
817213697RR0001,2021-01-31,25,N,N,N,N
744594516RR0001,2021-03-05,25,,,,
828678490RR0001,2021-01-31,25,,,,
889838140RR0001,2021-02-28,25,,,,
825253719RR0001,2021-01-31,25,,,,
100883289RR0001,2021-03-31,25,,,,
890217193RR0001,2021-03-31,25,,,,
834281370RR0001,2021-03-31,25,,,,
852823475RR0001,2021-03-31,25,N,N,,
891709644RR0001,2021-04-30,25,,,,
877266718RR0002,2021-03-31,25,,,,
118986785RR0001,2021-02-28,25,,,,
107653321RR0001,2021-03-31,25,,,,
129942215RR0001,2021-03-03,24,,,,
118829803RR0001,2021-01-31,25,,,,
890830797RR0001,2021-03-31,25,,,,
886257799RR0001,2021-03-31,25,N,N,N,N
877158675RR0001,2021-01-31,25,,,,
806176350RR0001,2021-03-31,24,N,N,N,N
118984525RR0001,2021-03-31,25,,,,
799598321RR0001,2021-02-28,25,,,,
813485059RR0001,2021-03-31,23,,,,
864483276RR0001,2021-03-31,25,,,,
856275276RR0001,2021-03-31,25,,,,
839679560RR0001,2021-03-31,25,,,,
118829191RR0001,2021-03-31,25,,,,
889429999RR0001,2021-03-20,25,,,,
882054471RR0001,2021-03-31,23,,,,
872849898RR0001,2021-03-20,25,N,N,N,N
858135924RR0001,2021-01-31,25,,,,
841072762RR0001,2021-03-31,25,N,N,N,N
140208380RR0001,2021-02-15,25,,,,
119042083RR0001,2021-03-31,25,,,,
891579948RR0001,2021-01-20,25,,,,
812202620RR0001,2021-02-28,25,,,,
811237338RR0001,2021-04-30,25,,,,
885937110RR0001,2021-04-30,25,,,,
119022655RR0001,2021-03-20,25,,,,
834630352RR0001,2021-01-31,25,,,,
135866432RR0001,2021-03-31,25,,,,
739471084RR0001,2021-03-31,25,,,,
134604248RR0001,2021-03-31,24,,,,
119256691RR0001,2021-03-20,25,,,,
119257921RR0001,2021-03-31,25,,,,
888290269RR0001,2021-02-28,25,,,,
869059394RR0001,2021-01-31,25,N,N,N,N
892659848RR0001,2021-03-31,25,,,,
744968074RR0001,2021-01-31,25,,,,
890560246RR0001,2021-04-30,25,,,,
119016160RR0001,2021-03-31,23,,,,
119037752RR0001,2021-04-30,25,,,,
119255354RR0001,2021-03-20,25,,,,
852903970RR0001,2021-04-09,25,,,,
858817141RR0001,2021-02-28,25,,,,
134541879RR0001,2021-03-31,25,,,,
135177574RR0001,2021-03-31,25,N,N,N,N
888636867RR0001,2021-03-31,25,N,N,,
891360349RR0001,2021-03-31,24,,,,
863311866RR0001,2021-03-31,25,,,,
118782408RR0001,2021-03-31,25,,,,
732111489RR0001,2021-03-31,25,N,N,N,N
138818984RR0001,2021-03-31,25,,,,
865397418RR0001,2021-04-30,25,,,,
800478588RR0001,2021-03-31,25,,,,
898350111RR0001,2021-03-31,25,,,,
107999468RR0001,2021-03-20,24,,,,
893809863RR0001,2021-04-30,25,,,,
119252161RR0001,2021-02-28,25,N,N,N,N
119066397RR0001,2021-03-31,25,,,,
858508401RR0001,2021-01-31,24,,,,
800592271RR0001,2021-03-31,25,,,,
106926181RR0001,2021-04-30,25,,,,
871545513RR0001,2021-03-31,24,,,,
808109607RR0001,2021-01-31,23,,,,
888177649RR0001,2021-01-31,25,N,N,N,N
893759654RR0001,2021-03-31,24,,,,
130410210RR0001,2021-03-31,25,,,,
118877034RR0001,2021-01-30,25,,,,
138127584RR0001,2021-03-31,25,,,,
888119245RR0001,2021-03-31,25,,,,
120654645RR0001,2021-03-31,25,,,,
107788663RR0001,2021-01-31,25,,,,
118897677RR0001,2021-03-31,25,,,,
107619884RR0001,2021-03-31,25,,,,
890069578RR0001,2021-01-31,25,,,,
866654239RR0001,2021-03-31,25,,,,
882548100RR0001,2021-03-31,25,,,,
119248342RR0001,2021-04-30,25,,,,
895304285RR0001,2021-01-31,25,N,N,N,N
137123147RR0001,2021-03-31,25,,,,
133336545RR0001,2021-03-20,25,,,,
