charity_org_name_text,charity_org_name_href,charity_status,charity_type,charity_province,charity_city,charity_status_date
École de musique Amadeus et Cie,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=860197649RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,Registered
École de musique Fernand-Lindsay,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=144991718RR0001&dsrdPg=1,Registered,Charity,QC,JOLIETTE,Registered
École de musique Miransol Inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=898013495RR0001&dsrdPg=1,Registered,Charity,QC,SAINTE-ANNE-DES-MONTS,Registered
École de percussions du Québec,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=857625297RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,MONTREAL,Revoked-Failure to File
École de Ballet du Québec/The Québec Ballet School,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=889492500RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,QUEBEC,Revoked-Failure to File
École de Cirque des Îles,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=837901545RR0001&dsrdPg=1,Registered,Charity,QC,ÎLES-DE-LA-MADELEINE,Registered
École de Shaolin Wing-Chun Kung-fu d'Argenteuil,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=744534330RR0001&dsrdPg=1,Registered,Charity,QC,LACHUTE,Registered
"École des arts de la scène, nos voix, nos visages",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=120507512RR0001&dsrdPg=1,Registered,Charity,QC,LONGUEUIL,Registered
École du milieu de Lévis,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=833910706RR0001&dsrdPg=1,Registered,Charity,QC,LEVIS,Registered
École le repaire,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=773382205RR0001&dsrdPg=1,Registered,Charity,QC,BELOEIL,Registered
École oraliste de Québec pour enfants malentendants ou sourds,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=861463685RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,Registered
École primaire Montessori,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=853387496RR0001&dsrdPg=1,Registered,Charity,QC,MAGOG,Registered
École régionale de musique de Pont-Rouge,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=863219887RR0001&dsrdPg=1,Registered,Charity,QC,PONT-ROUGE,Registered
École Al Farabi,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=843140757RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,Registered
École Apprends-moi,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=728295478RR0001&dsrdPg=1,Registered,Charity,QC,LONGUEUIL,Registered
École Jazz manouche de Montréal,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=810616649RR0001&dsrdPg=1,Revoked-Voluntary,Charity,QC,MONTRÉAL,Revoked-Voluntary
École Lucien-Guilbault Inc.,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107584153RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,Registered
École Mesivta Kerem Menachem / Mesivta Kerem Menachem Schoo l,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=832634240RR0001&dsrdPg=1,Registered,Charity,QC,MONTREAL,Registered
"École Montessori International Montréal, Inc.",/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=803505957RR0001&dsrdPg=1,Revoked-Failure to File,Charity,QC,MONTREAL,Revoked-Failure to File
École Québec monde,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=829309855RR0001&dsrdPg=1,Registered,Charity,QC,QUEBEC,Registered
École Robert H. Smith School Parent Council,/ebci/hacc/srch/pub/dsplyRprtngPrd?selectedCharityBn=107902850RR0001&dsrdPg=1,Registered,Charity,MB,WINNIPEG,Registered
